time_period,admissions_group,preference,offers_percent
2024,selective,first,80.93024482
2024,non-selective,first,83.82316163
2024,total,first,82.92272005
2023,selective,first,80.86918686
2023,non-selective,first,83.35986586
2023,total,first,82.57506964
2022,selective,first,81.51308334
2022,non-selective,first,84.0529185
2022,total,first,83.25356358
2021,selective,first,77.84108611
2021,non-selective,first,82.6185031
2021,total,first,81.12361741
2020,selective,first,80.67300171
2020,non-selective,first,82.85450212
2020,total,first,82.16696205
2024,selective,second,9.64608533
2024,non-selective,second,8.35411501
2024,total,second,8.756250246
2023,selective,second,9.482224668
2023,non-selective,second,8.339377726
2023,total,second,8.699481122
2022,selective,second,9.162738473
2022,non-selective,second,8.047329122
2022,total,second,8.398378657
2021,selective,second,10.40750265
2021,non-selective,second,8.291309252
2021,total,second,8.953480303
2020,selective,second,9.386296852
2020,non-selective,second,8.405652576
2020,total,second,8.714720697
2024,selective,third,3.30460906
2024,non-selective,third,2.689827816
2024,total,third,2.881182986
2023,selective,third,3.178828287
2023,non-selective,third,2.693130116
2023,total,third,2.846170348
2022,selective,third,3.098918043
2022,non-selective,third,2.562036892
2022,total,third,2.731007932
2021,selective,third,4.285193771
2021,non-selective,third,2.902848018
2021,total,third,3.335393238
2020,selective,third,3.325898992
2020,non-selective,third,2.912876392
2020,total,third,3.043048078
