Prefecture,Population
Tokyo,14.04
Kanagawa,9.23
Osaka,8.78
Aichi,7.5
Saitama,7.34
Chiba,6.27
Hyogo,5.4
Hokkaido,5.14
Fukuoka,5.12
Shizuoka,3.58
Ibaraki,2.84
Hiroshima,2.76
Kyoto,2.55
Miyagi,2.28
Niigata,2.15
Nagano,2.02
Gifu,1.95
Gunma,1.91
Tochigi,1.91
Okayama,1.86
Fukushima,1.79
Mie,1.74
Kumamoto,1.72
Kagoshima,1.56
Okinawa,1.47
Shiga,1.41
Yamaguchi,1.31
Ehime,1.31
Nara,1.31
Nagasaki,1.28
Aomori,1.2
Iwate,1.18
Ishikawa,1.12
Oita,1.11
Miyazaki,1.05
Yamagata,1.04
Toyama,1.02
Kagawa,0.93
Akita,0.93
Wakayama,0.9
Yamanashi,0.8
Saga,0.8
Fukui,0.75
Tokushima,0.7
Kochi,0.68
Shimane,0.66
Tottori,0.54
