date,value
1971-01-01,42.6
1971-04-01,43.4
1971-07-01,44.2
1971-10-01,44.5
1972-01-01,44.2
1972-04-01,45
1972-07-01,45.1
1972-10-01,45.6
1973-01-01,47.4
1973-04-01,47.4
1973-07-01,46.9
1973-10-01,46.7
1974-01-01,45.6
1974-04-01,46.3
1974-07-01,46.8
1974-10-01,46.3
1975-01-01,46.7
1975-04-01,46.2
1975-07-01,46.2
1975-10-01,47
1976-01-01,47.9
1976-04-01,47.8
1976-07-01,48.4
1976-10-01,49.2
1977-01-01,49.3
1977-04-01,48.7
1977-07-01,48.9
1977-10-01,49.6
1978-01-01,50
1978-04-01,50.4
1978-07-01,51
1978-10-01,51.1
1979-01-01,50.7
1979-04-01,52.7
1979-07-01,51.8
1979-10-01,52.2
1980-01-01,51.8
1980-04-01,51.5
1980-07-01,52.1
1980-10-01,52.2
1981-01-01,52.9
1981-04-01,53.8
1981-07-01,54.8
1981-10-01,55.3
1982-01-01,55.5
1982-04-01,56.4
1982-07-01,57
1982-10-01,57.7
1983-01-01,59.3
1983-04-01,59.5
1983-07-01,59.8
1983-10-01,59.7
1984-01-01,59.9
1984-04-01,58.8
1984-07-01,58.8
1984-10-01,59.5
1985-01-01,60.1
1985-04-01,61.3
1985-07-01,61.2
1985-10-01,61.2
1986-01-01,61.6
1986-04-01,62.2
1986-07-01,62.6
1986-10-01,63.4
1987-01-01,63.5
1987-04-01,64.1
1987-07-01,64.8
1987-10-01,64.9
1988-01-01,65.2
1988-04-01,65.1
1988-07-01,65.4
1988-10-01,65.5
1989-01-01,65.1
1989-04-01,65
1989-07-01,65
1989-10-01,65
1990-01-01,65.4
1990-04-01,65.8
1990-07-01,65.6
1990-10-01,66.1
1991-01-01,66.5
1991-04-01,67.5
1991-07-01,68.3
1991-10-01,69
1992-01-01,69.2
1992-04-01,69.2
1992-07-01,70.1
1992-10-01,71.3
1993-01-01,71.6
1993-04-01,72
1993-07-01,72.7
1993-10-01,73.3
1994-01-01,73.4
1994-04-01,73.8
1994-07-01,73.8
1994-10-01,73.6
1995-01-01,74
1995-04-01,73.9
1995-07-01,74.7
1995-10-01,74.6
1996-01-01,75.3
1996-04-01,75.5
1996-07-01,76
1996-10-01,76.6
1997-01-01,76.9
1997-04-01,77.2
1997-07-01,77.6
1997-10-01,78.7
1998-01-01,79
1998-04-01,79.5
1998-07-01,79.6
1998-10-01,80.6
1999-01-01,80.7
1999-04-01,80.8
1999-07-01,81.8
1999-10-01,82.8
2000-01-01,84.9
2000-04-01,84.6
2000-07-01,85.1
2000-10-01,85
2001-01-01,86
2001-04-01,85.8
2001-07-01,86.3
2001-10-01,86.6
2002-01-01,87
2002-04-01,87.7
2002-07-01,87.8
2002-10-01,88.4
2003-01-01,89
2003-04-01,89.5
2003-07-01,90.3
2003-10-01,91.4
2004-01-01,90.8
2004-04-01,91.5
2004-07-01,91.6
2004-10-01,91
2005-01-01,91.7
2005-04-01,92.7
2005-07-01,92.9
2005-10-01,93.8
2006-01-01,94.1
2006-04-01,94.6
2006-07-01,94.6
2006-10-01,94.7
2007-01-01,95.5
2007-04-01,95.9
2007-07-01,96.3
2007-10-01,96.8
2008-01-01,96.2
2008-04-01,96.9
2008-07-01,95.3
2008-10-01,93.8
2009-01-01,93.6
2009-04-01,93.5
2009-07-01,94.1
2009-10-01,94.4
2010-01-01,95.5
2010-04-01,95.7
2010-07-01,95.8
2010-10-01,95.5
2011-01-01,95.7
2011-04-01,96.8
2011-07-01,96.6
2011-10-01,96.9
2012-01-01,96.8
2012-04-01,96.1
2012-07-01,96.1
2012-10-01,95.7
2013-01-01,95.8
2013-04-01,96.2
2013-07-01,95.7
2013-10-01,96.2
2014-01-01,96.1
2014-04-01,96.1
2014-07-01,96.7
2014-10-01,96.7
2015-01-01,96.6
2015-04-01,97.2
2015-07-01,97.5
2015-10-01,96.1
2016-01-01,97
2016-04-01,97.4
2016-07-01,97.7
2016-10-01,98
2017-01-01,98.2
2017-04-01,98.3
2017-07-01,99.8
2017-10-01,100.2
2018-01-01,99.8
2018-04-01,99.9
2018-07-01,99.3
2018-10-01,99.5
2019-01-01,99.2
2019-04-01,99.6
2019-07-01,100.4
2019-10-01,100.7
2020-01-01,99.9
2020-04-01,96.9
2020-07-01,104.9
2020-10-01,100.7
2021-01-01,101.1
2021-04-01,102.8
2021-07-01,101.7
2021-10-01,102.9
2022-01-01,102
2022-04-01,102
2022-07-01,102.4
2022-10-01,102.3
2023-01-01,101.6
2023-04-01,102.2
2023-07-01,103
2023-10-01,102
2024-01-01,101.8
